Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Fahrrad","E-Bike","Mountainbike","mobility","bike","e_bike","e_mtb","ebike","mobility-bike-e_bike-e_mtb"
"Verträge","Medien","Streaming","Musik","contract","media","streaming","music","contract-media-media-mediacontract","contract-media-streaming-music"
"Mobilität","Personenfahrzeug","Motorrad","Naked","mobility","passenger_vehicle","motorcycle","naked","naked","mobility-passenger_vehicle-motorcycle-naked"
"Verträge","Dienstleistung","Service","Notar","contract","service","service","notary","contract-service-notary-notarycontract","contract-service-service-notary"
"Mobilität","Personenfahrzeug","Quad","Offroad","mobility","passenger_vehicle","quad","quad_offroad","quad","mobility-passenger_vehicle-quad-quad_offroad"
"Verträge","Energie","Heizen","Öl","contract","energy","heating","oil","energy","contract-energy-heating-oil"
"Finanzkonten","Kredit","Kreditkarte","Online Virtuell","financeaccount","credit","credit_card","online_virtual","contract-propertymanagement-propertymanagement-propertymanagementcontract","financeaccount-credit-credit_card-online_virtual"
"Immobilien","mit Bebauung","Parkfläche","Parkhaus","realestate","with_development","parking_space","parking_house","parking-house","realestate-with_development-parking_space-parking_house"
"Verträge","Mietvertrag","Abstellplatz","Parkplatz","contract","rental_contract","put_down_space","parking","contract-lease-lease-leasecontract","contract-rental_contract-put_down_space-parking"
"Immobilien","mit Bebauung","Parkfläche","Parkplatz","realestate","with_development","parking_space","parking_space","parking-space","realestate-with_development-parking_space-parking_space"
"Verträge","Darlehen","Immobilie","Partiarische Darlehen","contract","loan","realestate","participatory_loans","contract-loan-credit-creditcontract","contract-loan-realestate-participatory_loans"
"Finanzkonten","Systeme","Bezahlsysteme","Paypal","financeaccount","systems","payment_systems","paypal","contract-rentalmanagement-rentalmanagement-rentalmanagementcontract","financeaccount-systems-payment_systems-paypal"
"Immobilien","mit Bebauung","Wohnhaus","Pflegeeinrichtung","realestate","with_development","residential_building","care_facility","commercial-residential-property","realestate-with_development-residential_building-care_facility"
"Verträge","Versicherung","Leben","Pflegetagegeld","contract","insurance","life","daily_care_allowance","contract-insurance-longtermcaredaily-longtermcaredailycontract","contract-insurance-life-daily_care_allowance"
"Verträge","Versicherung","Leben","Pflegeversicherung","contract","insurance","life","care_insurance","contract-insurance-longtermcare-longtermcarecontract","contract-insurance-life-care_insurance"
"Verträge","Versicherung","Sach","Photovoltaik","contract","insurance","object","photovoltaic","contract-insurance-photovoltaic-photovoltaiccontract","contract-insurance-object-photovoltaic"
"Mobilität","Personenfahrzeug","Auto","Pickup","mobility","passenger_vehicle","car","pickup","car","mobility-passenger_vehicle-car-pickup"
