id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by;creation_type
159;Einzelkontakt;2023-06-13 00:00:00;jaynaApp.contact.group-type.single-contact;44;contact;;single-contact;system;STATIC
160;A;2023-06-13 00:00:00;jaynaApp.mobility.group-type.a;45;mobility;;trailer;system;STATIC
161;B;2023-06-13 00:00:00;jaynaApp.mobility.group-type.b;45;mobility;;trailer;system;STATIC
162;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.c;45;mobility;;trailer;system;STATIC
163;Cabrio;2023-06-13 00:00:00;jaynaApp.mobility.group-type.convertible;46;mobility;;car;system;STATIC
164;Coupé;2023-06-13 00:00:00;jaynaApp.mobility.group-type.coupe;46;mobility;;car;system;STATIC
165;CUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cuv;46;mobility;;car;system;STATIC
166;Geländewagen;2023-06-13 00:00:00;jaynaApp.mobility.group-type.off-road-vehicle;46;mobility;;car;system;STATIC
167;Kleinbus;2023-06-13 00:00:00;jaynaApp.mobility.group-type.minibus;46;mobility;;car;system;STATIC
168;Kleintransporter;2023-06-13 00:00:00;jaynaApp.mobility.group-type.small-transporter;46;mobility;;car;system;STATIC
169;Kleinwagen;2023-06-13 00:00:00;jaynaApp.mobility.group-type.small-car;46;mobility;;car;system;STATIC
170;Kombi;2023-06-13 00:00:00;jaynaApp.mobility.group-type.station-wagon;46;mobility;;car;system;STATIC
171;Limousine;2023-06-13 00:00:00;jaynaApp.mobility.group-type.limousine;46;mobility;;car;system;STATIC
172;Minivan;2023-06-13 00:00:00;jaynaApp.mobility.group-type.minivan;46;mobility;;car;system;STATIC
173;Pickup;2023-06-13 00:00:00;jaynaApp.mobility.group-type.pickup;46;mobility;;car;system;STATIC
174;Roadstar;2023-06-13 00:00:00;jaynaApp.mobility.group-type.roadstar;46;mobility;;car;system;STATIC
175;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.suv;46;mobility;;car;system;STATIC
176;Transporter;2023-06-13 00:00:00;jaynaApp.mobility.group-type.transporter;46;mobility;;car;system;STATIC
177;Van;2023-06-13 00:00:00;jaynaApp.mobility.group-type.van;46;mobility;;car;system;STATIC
178;City;2023-06-13 00:00:00;jaynaApp.mobility.group-type.city;47;mobility;;bicycle;system;STATIC
179;Cross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cross;47;mobility;;bicycle;system;STATIC
180;Dreirad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.tricycle;47;mobility;;bicycle;system;STATIC
181;Falt;2023-06-13 00:00:00;jaynaApp.mobility.group-type.folding-bike;47;mobility;;bicycle;system;STATIC
182;Gravel;2023-06-13 00:00:00;jaynaApp.mobility.group-type.gravel;47;mobility;;bicycle;system;STATIC
183;Lasten;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cargo;47;mobility;;bicycle;system;STATIC
184;Lifestyle;2023-06-13 00:00:00;jaynaApp.mobility.group-type.lifestyle;47;mobility;;bicycle;system;STATIC
185;Mountainbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.mtb;47;mobility;;bicycle;system;STATIC
186;Rennrad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.racing-bike;47;mobility;;bicycle;system;STATIC
187;Speed;2023-06-13 00:00:00;jaynaApp.mobility.group-type.speed-bike;47;mobility;;bicycle;system;STATIC
188;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.suv;47;mobility;;bicycle;system;STATIC
189;Trekking;2023-06-13 00:00:00;jaynaApp.mobility.group-type.trekking-bike;47;mobility;;bicycle;system;STATIC
190;XXL;2023-06-13 00:00:00;jaynaApp.mobility.group-type.xxl;47;mobility;;bicycle;system;STATIC
191;City;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-city;48;mobility;;ebike;system;STATIC
192;Cross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-cross;48;mobility;;ebike;system;STATIC
193;Dreirad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-tricycle;48;mobility;;ebike;system;STATIC
194;Falt;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-folding-bike;48;mobility;;ebike;system;STATIC
195;Gravel;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-gravel;48;mobility;;ebike;system;STATIC
196;Lasten;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-cargo;48;mobility;;ebike;system;STATIC
197;Lifestyle;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-lifestyle;48;mobility;;ebike;system;STATIC
198;Mountainbike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-mtb;48;mobility;;ebike;system;STATIC
199;Rennrad;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-racing-bike;48;mobility;;ebike;system;STATIC
200;Speed;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-speed-bike;48;mobility;;ebike;system;STATIC
201;SUV;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-suv;48;mobility;;ebike;system;STATIC
202;Trekking;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-trekking-bike;48;mobility;;ebike;system;STATIC
203;XXL;2023-06-13 00:00:00;jaynaApp.mobility.group-type.e-xxl;48;mobility;;ebike;system;STATIC
204;Motorsegler;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motor-glider;49;mobility;;motorsailer;system;STATIC
205;A;2023-06-13 00:00:00;jaynaApp.mobility.group-type.boxvan;50;mobility;;boxvan;system;STATIC
206;B;2023-06-13 00:00:00;jaynaApp.mobility.group-type.boxvan;50;mobility;;boxvan;system;STATIC
207;C;2023-06-13 00:00:00;jaynaApp.mobility.group-type.boxvan;50;mobility;;boxvan;system;STATIC
208;Motorboot;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat;system;STATIC
209;Sportboot;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat;system;STATIC
210;Yacht;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat;system;STATIC
211;Jollenkreuzer;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motorboat;51;mobility;;motorboat;system;STATIC
212;Chopper;2023-06-13 00:00:00;jaynaApp.mobility.group-type.chopper;52;mobility;;chopper;system;STATIC
213;Cruiser;2023-06-13 00:00:00;jaynaApp.mobility.group-type.cruiser;52;mobility;;cruiser;system;STATIC
214;Dirt Bike;2023-06-13 00:00:00;jaynaApp.mobility.group-type.dirt-bike;52;mobility;;dirt-bike;system;STATIC
215;Motocross;2023-06-13 00:00:00;jaynaApp.mobility.group-type.motocross;52;mobility;;motocross;system;STATIC
